id,STAR_WHITE_DWARF,STAR_CATY_VAR,STAR_BROWN_DWARF,SERENDIPITY_RED,REDDEN_STD,STAR_BHB,GALAXY,SERENDIPITY_DISTANT,QSO,SKY,STAR_RED_DWARF,ROSAT_D,STAR_PN,SERENDIPITY_FIRST,STAR_CARBON,SPECTROPHOTO_STD,STAR_SUB_DWARF,SERENDIPITY_MANUAL,SERENDIPITY_BLUE,fiberID
199991,6.37E-06,1.24E-05,2.35E-05,0.011609705,5.58E-06,6.67E-06,0.00012372,1.11E-05,0.001476196,1.79E-06,0.98553977,0.001090027,1.58E-06,4.59E-05,1.18E-05,3.16E-06,3.22E-06,6.99E-06,2.06E-05,251
199992,0.000367354,0.000560324,8.01E-05,0.000130328,0.000163251,0.000378283,0.075685502,0.000711705,0.37897331,7.36E-05,0.000134753,0.346643072,6.54E-05,0.194775693,0.000438564,0.00013043,8.43E-05,7.66E-05,0.000527553,386
199993,5.80E-05,4.45E-06,8.85E-07,1.44E-06,5.12E-06,3.57E-06,0.997824518,3.81E-06,0.000833785,8.12E-07,1.75E-06,0.001034963,7.21E-07,5.55E-05,0.000161131,1.34E-06,9.28E-07,8.90E-07,6.39E-06,232
199994,0.00026939,0.000108412,3.26E-05,5.30E-05,5.85E-05,0.000168751,0.00099194,0.000186005,0.181501709,3.00E-05,5.30E-05,0.026728502,2.66E-05,0.018946024,6.08E-05,5.31E-05,3.42E-05,3.09E-05,0.770666721,557
199995,3.96E-06,3.72E-06,3.93E-06,8.98E-06,1.95E-06,2.50E-06,0.001116231,4.93E-06,0.000463379,6.87E-07,0.996962335,0.001382728,6.12E-07,3.20E-05,5.22E-06,1.22E-06,9.45E-07,1.95E-06,2.72E-06,75
199996,0.000445006,2.65E-05,1.04E-05,1.69E-05,0.958795835,0.004102337,0.001515025,5.30E-05,0.022680369,9.55E-06,1.68E-05,0.011976557,8.48E-06,0.000175271,2.15E-05,1.69E-05,1.09E-05,9.84E-06,0.000108891,303
199997,0.000494711,0.000207961,1.97E-05,3.61E-05,3.54E-05,0.00033469,0.000304161,0.296913807,0.003153413,1.81E-05,3.19E-05,0.013928618,1.61E-05,0.001205965,3.68E-05,3.21E-05,2.07E-05,1.93E-05,0.683190448,269
199998,2.51E-05,1.44E-06,6.32E-07,1.03E-06,1.10E-05,3.88E-05,3.55E-05,5.21E-06,0.000390679,5.82E-07,1.02E-06,0.002431442,5.17E-07,5.56E-06,1.31E-06,0.997039598,6.63E-07,6.08E-07,9.34E-06,631
199999,6.71E-05,4.01E-06,1.85E-06,3.00E-06,6.11E-06,2.02E-05,0.994925801,1.50E-05,0.003918015,1.70E-06,3.86E-06,0.000933613,1.51E-06,4.58E-05,1.00E-05,3.95E-06,1.94E-06,1.76E-06,3.47E-05,63
200000,0.004526121,0.001184854,5.89E-05,0.000140749,0.000105768,0.001178498,0.000650723,0.000521937,0.526935259,5.42E-05,9.54E-05,0.040966415,4.81E-05,0.065103679,0.000109962,0.000122488,6.18E-05,5.59E-05,0.358079274,314
200001,0.000172533,0.902633895,1.65E-05,2.69E-05,8.52E-05,6.81E-05,0.032474825,0.00041397,0.015104334,1.52E-05,0.000166287,0.041357742,1.35E-05,0.000531218,0.006694837,7.54E-05,5.20E-05,1.66E-05,8.10E-05,511
200002,1.15E-05,6.70E-07,3.09E-07,5.02E-07,8.61E-07,2.57E-06,0.998926455,1.33E-06,0.000632885,2.84E-07,4.99E-07,0.000312547,2.52E-07,8.85E-05,1.80E-05,5.03E-07,3.24E-07,3.23E-07,1.75E-06,220
200003,0.02381217,0.000217993,0.000105332,0.000171388,0.000467937,0.000724747,0.205149511,0.000455671,0.415937135,9.67E-05,0.000187943,0.273282425,8.60E-05,0.077669423,0.000578239,0.000171527,0.000110475,0.000107329,0.000668056,322
200004,3.94E-05,1.65E-05,5.93E-06,9.65E-06,1.06E-05,3.67E-05,3.59E-05,3.54E-05,0.955758094,5.45E-06,9.60E-06,0.001178319,4.84E-06,0.00074092,1.11E-05,9.66E-06,6.22E-06,5.63E-06,0.042080078,724
200005,2.39E-05,6.06E-06,6.04E-07,9.83E-07,3.18E-06,2.48E-06,0.997959041,2.61E-06,0.000728486,5.57E-07,9.41E-07,0.001087507,4.94E-07,0.000123515,5.21E-05,9.84E-07,6.34E-07,6.50E-07,5.27E-06,389
200006,1.09E-06,1.64E-06,3.72E-06,7.43E-06,7.84E-07,1.08E-06,1.28E-05,1.84E-06,0.000179783,3.02E-07,0.999582076,0.000126196,2.68E-07,7.18E-05,1.90E-06,5.35E-07,4.49E-07,2.96E-06,3.28E-06,162
200007,8.08E-06,1.62E-06,8.05E-07,1.31E-06,3.06E-06,1.03E-05,0.99718706,3.47E-06,0.002110217,7.41E-07,1.30E-06,0.000582178,6.58E-07,2.55E-05,1.50E-06,1.31E-06,8.44E-07,7.63E-07,5.92E-05,69
200008,7.49E-05,1.98E-05,6.80E-06,1.11E-05,2.25E-05,3.00E-05,0.971146459,2.98E-05,0.004116371,6.25E-06,1.21E-05,0.003600484,5.55E-06,0.020417283,0.000404877,1.11E-05,7.15E-06,6.50E-06,7.09E-05,34
200009,0.007413157,2.29E-05,7.44E-06,1.21E-05,1.71E-05,0.956903758,0.000163717,9.05E-05,0.032550201,6.84E-06,1.20E-05,0.001289671,6.07E-06,0.00054639,1.60E-05,1.21E-05,7.81E-06,7.06E-06,0.000915013,266
200010,2.26E-05,1.55E-06,6.79E-07,1.10E-06,1.15E-05,0.001122091,0.000204421,4.16E-06,0.000594071,6.25E-07,1.10E-06,0.000711993,5.55E-07,8.64E-06,1.41E-06,0.997304507,7.12E-07,6.53E-07,7.62E-06,639
200011,0.000475651,3.17E-05,1.39E-05,2.27E-05,0.000166164,0.055299451,0.000752043,7.57E-05,0.008472427,1.28E-05,2.25E-05,0.012130757,1.14E-05,0.000137734,2.87E-05,0.921986093,1.46E-05,1.34E-05,0.000332207,306
200012,0.000207526,0.000201308,3.25E-05,5.28E-05,5.82E-05,0.000107122,0.000260472,0.031535174,0.049637034,2.98E-05,5.25E-05,0.018476553,2.65E-05,0.00517073,6.05E-05,5.28E-05,3.40E-05,3.08E-05,0.893973518,607
200013,0.000114152,5.94E-05,2.30E-05,3.75E-05,4.13E-05,8.61E-05,0.000156724,0.000137283,0.224038772,2.12E-05,3.74E-05,0.002426677,1.88E-05,0.006597826,4.30E-05,3.75E-05,2.41E-05,2.20E-05,0.766077188,564
200014,0.000180184,0.000136904,3.64E-05,5.99E-05,7.11E-05,0.00032963,0.097265649,0.000188575,0.017440283,3.34E-05,6.41E-05,0.014747708,2.97E-05,0.868863879,0.000284514,5.92E-05,3.83E-05,3.62E-05,0.000134447,227
200015,0.000303968,1.15E-05,4.52E-06,7.35E-06,0.980859004,0.001020364,0.000192584,2.33E-05,0.005484718,4.16E-06,7.31E-06,0.011879613,3.69E-06,9.81E-05,1.02E-05,7.36E-06,4.74E-06,4.29E-06,7.33E-05,545
200016,6.84E-07,1.10E-06,1.54E-07,2.51E-07,4.30E-07,1.05E-06,2.78E-05,1.25E-06,0.000192653,1.41E-07,2.75E-07,0.000338366,1.25E-07,1.05E-05,2.43E-06,2.51E-07,0.999421336,1.53E-07,1.03E-06,386
200017,0.000531858,0.000116476,4.47E-05,7.22E-05,8.06E-05,0.000206114,0.000528302,0.010121072,0.109233133,4.12E-05,0.000105254,0.001352623,0.000116887,0.000372613,8.33E-05,7.27E-05,4.68E-05,0.000174519,0.876699754,607
200018,0.025894526,0.00045959,0.000127918,0.000208138,0.000653831,0.000442892,0.044218001,0.001094251,0.200126117,0.000117207,0.000228243,0.227508622,0.000104189,0.014244768,0.481251847,0.000208307,0.000134131,0.00012503,0.002852392,373
200019,4.42E-06,5.50E-06,6.94E-06,1.19E-05,3.04E-06,2.99E-06,0.000125842,5.42E-06,0.000552286,7.98E-07,0.997866816,0.00137846,7.09E-07,2.28E-05,4.85E-06,1.41E-06,1.39E-06,8.54E-07,3.58E-06,75
200020,0.05766425,0.000130476,2.71E-05,5.57E-05,4.89E-05,0.003299719,0.000174036,0.44797909,0.002758895,2.49E-05,4.39E-05,0.00167401,2.21E-05,0.004030721,5.06E-05,4.41E-05,2.84E-05,3.20E-05,0.481911057,367
200021,0.000127508,6.61E-05,2.95E-05,4.77E-05,5.29E-05,0.000115314,0.000229583,0.000211184,0.960608951,2.72E-05,4.68E-05,0.000958945,2.41E-05,0.000257737,5.51E-05,4.80E-05,3.09E-05,2.79E-05,0.037034631,837
200022,0.000538911,0.000192066,8.07E-05,0.000165674,0.00036928,0.001440418,0.001355138,0.1247796,0.058020579,7.41E-05,0.000130612,0.052148471,6.60E-05,0.014421244,0.00015062,0.00013146,8.47E-05,7.66E-05,0.745773845,183
200023,7.04E-06,1.54E-06,3.84E-07,6.25E-07,1.06E-06,1.34E-06,0.998951851,2.54E-05,0.00029632,3.54E-07,9.88E-07,0.000397266,3.14E-07,0.000297745,1.19E-05,6.82E-07,4.03E-07,3.76E-07,4.43E-06,248
200024,0.001585554,0.004894892,6.12E-05,9.95E-05,0.000109765,0.000805888,0.000383606,0.00036966,0.260689476,5.62E-05,9.90E-05,0.080656572,4.99E-05,0.011422733,0.000114119,9.96E-05,6.42E-05,5.80E-05,0.638380211,405
200025,0.000238025,4.14E-06,1.65E-06,2.69E-06,2.35E-05,8.43E-06,0.992625144,1.78E-05,0.003442329,1.52E-06,2.68E-06,0.003494681,1.35E-06,4.44E-05,6.82E-05,2.55E-06,1.73E-06,1.70E-06,1.75E-05,418
200026,5.04E-06,2.96E-06,1.31E-06,2.11E-06,2.35E-06,6.40E-06,1.32E-05,7.58E-06,0.999637809,1.20E-06,2.34E-06,4.48E-05,1.07E-06,1.69E-05,2.44E-06,2.13E-06,1.37E-06,1.24E-06,0.000247697,702
200027,1.83E-05,3.07E-06,5.71E-07,9.30E-07,3.59E-06,3.43E-06,0.997804343,2.49E-06,0.000369768,5.26E-07,2.37E-06,0.001593811,4.67E-07,2.95E-05,0.000158309,8.93E-07,5.99E-07,7.85E-07,6.21E-06,286
200028,2.28E-06,2.22E-06,7.92E-07,2.11E-06,1.81E-06,4.23E-06,1.19E-05,4.72E-06,0.999901575,7.30E-07,1.63E-06,9.71E-06,6.48E-07,1.61E-05,1.60E-06,1.29E-06,8.37E-07,7.51E-07,3.51E-05,864
200029,1.34E-05,3.92E-06,1.87E-06,3.05E-06,3.36E-06,1.14E-05,1.22E-05,1.12E-05,0.989637503,1.72E-06,3.03E-06,0.000285923,1.53E-06,0.00061003,3.50E-06,3.05E-06,1.97E-06,1.78E-06,0.009389607,858
200030,7.11E-05,2.21E-06,9.95E-07,1.62E-06,3.36E-06,5.32E-06,0.996706574,4.32E-06,0.001511663,9.17E-07,1.61E-06,0.001634671,8.14E-07,3.58E-05,5.07E-06,1.93E-06,1.04E-06,1.01E-06,9.95E-06,461
200031,6.25E-05,3.80E-06,1.54E-06,2.51E-06,1.90E-05,6.59E-05,6.13E-05,2.80E-05,0.00139433,1.42E-06,2.49E-06,0.003148114,1.26E-06,3.68E-05,3.35E-06,0.995157551,1.62E-06,1.48E-06,7.02E-06,160
200032,0.000861775,0.001142184,2.52E-05,4.15E-05,7.30E-05,0.001688301,0.000307407,0.000259501,0.963877469,2.32E-05,4.10E-05,0.02317269,2.06E-05,0.003608318,6.11E-05,4.11E-05,2.65E-05,2.39E-05,0.004705317,606
